No.,Name,Category,Years in Prod.,Colors
500,Dispatch,Crossbody,1991,"Black, British Tan"
506,Waist Pouch,Clutch/Pouch,"1991, 1992, 1993","Black, British Tan"
509,Backpack,Backpack,"1991, 1992, 1993","Black, British Tan"
511,International Travel Bag,Crossbody,"1991, 1992, 1993, 1994, 1995","Black, British Tan"
514,Compartment Brief,Briefcase,"1993, 1994, 1995, 1996, 1997","Black, British Tan, Mahogany"
515,Canteen Waist Pouch,Clutch/Pouch,"1993, 1994, 1995, 1996, 1997","Black, British Tan, Mahogany"
516,Pocket Waist Pack,Clutch/Pouch,"1991, 1992, 1993","Black, British Tan"
517,Berkeley Backpack,Backpack,1996,"Black, Mahogany, Russet"
518,Double Compartment Carry-On,Messenger,"1996, 1997","Black, British Tan, Mahogany"
520,Travel Backpack,Backpack,"1996, 1997","Black, Mahogany"
521,Zip Backpack,Backpack,"1995, 1996, 1997","Black, British Tan, Mahogany"
528,Double Pocket Backpack,Backpack,1998,"Black, Mahogany"
529,Backpack,Backpack,"1994, 1995, 1996, 1997, 1998","Black, British Tan, Mahogany"
532,Organizer Brief,Briefcase,"1995, 1996, 1997, 1998, 1999","Black, British Tan, Mahogany"
536,Basic Zip,Briefcase,1996,"Black, British Tan, Mahogany"
537,Double Zip Organizer Brief,Briefcase,"1996, 1997, 1998","Black, British Tan, Mahogany"
538,Zip Top Compartment Brief,Briefcase,"1996, 1997","Black, British Tan, Mahogany"
542,Multi-Compartment Brief,Briefcase,1997,"Black, British Tan, Mahogany"
543,Contemporary Zip,Briefcase,1997,"Black, British Tan, Mahogany"
544,Compact Organizer Brief,Briefcase,"1997, 1998","Black, British Tan, Mahogany"
547,Flap Backpack,Backpack,1998,"Black, Mahogany"
597,Flight Bag,Messenger,1998,"Black, Mahogany"
657,USOC Tourist Pouch,Clutch/Pouch,1995,"Black, Blue, British Tan, Green, Red, Yellow"
658,USOC Waist Pouch,Clutch/Pouch,1995,"Black, Blue, British Tan, Green, Red, Yellow"
4010,Drawstring Sac Large,Bucket,1987,"Black, Blue, Buckskin, Cocoa, Honey, Khaki, Red, Saddle, Taupe, Wine"
4011,Camera Bag Small,Crossbody,1990,"Black, Blue, Bone, Cocoa, Taupe, White"
4012,Camera Bag,Crossbody,1990,"Black, Blue, Bone, Cocoa, Taupe, White"
4013,Capri Bag Small,Crossbody,1990,"Black, Blue, Bone, Cocoa, Taupe"
4014,Capri Bag,Crossbody,1990,"Black, Blue, Bone, Cocoa, Taupe"
4015,Drawstring Sac,Bucket,"1987, 1988, 1989","Black, Blue, Bone, Buckskin, Cocoa, Honey, Khaki, Red, Saddle, Taupe, Wine"
4016,Escort Bag,Crossbody,1990,"Black, Blue, Cocoa, Honey, Taupe"
4017,Light Hobo,Shoulder Bag,1990,"Black, Blue, Cocoa, Honey, Taupe"
4018,Slim Zip Bag,Crossbody,"1990, 1991, 1992","Black, Blue, Bone, Cocoa, Honey, Red, Taupe, White, Berry, Chamois, Ivy"
